Species	Status	Real age	Age	time stored	3856	3400	3276	2923	2854	1901	1746	1636	1539	1457	1307	1154	1076	1027	880	526	401
AG	AF	1	AG	1	0	0.00908	0.04792	0.07043	0.06241	0.05066	0.01093	0.01769	0.13361	0.12137	0.08169	0.07879	0.08536	0.12697	0.1494	0.06834	0.16968	0.15636
AG	AF	1	AG	1	0	0.01139	0.04477	0.06841	0.0743	0.06024	0.01283	0.01973	0.14538	0.13673	0.09744	0.09128	0.08731	0.12468	0.12885	0.07158	0.17161	0.14873
AG	AF	1	AG	1	0	0.00658	0.06211	0.08575	0.06066	0.05107	0.00852	0.01261	0.10608	0.09584	0.07099	0.07148	0.06895	0.11759	0.14313	0.06331	0.14559	0.13582
AG	AF	1	AG	1	0	0.01205	0.07312	0.10313	0.12231	0.09774	0.01551	0.03787	0.1473	0.13541	0.10488	0.10021	0.10413	0.17058	0.2065	0.09024	0.20785	0.18519
AG	AF	1	AG	1	0	0.01171	0.09899	0.13337	0.09972	0.08334	0.01423	0.02331	0.14371	0.12697	0.1039	0.1071	0.10674	0.19518	0.2495	0.10056	0.25008	0.23366
AG	AF	1	AG	1	0	0.00669	0.20303	0.25103	0.14096	0.10244	0.01503	0.041	0.31026	0.25083	0.16683	0.15963	0.16042	0.21137	0.21742	0.14409	0.50695	0.49877
AG	AF	3	AG	3	1095	0.00911	0.07217	0.09974	0.14094	0.10984	0.01137	0.05302	0.13352	0.1188	0.10682	0.09983	0.11146	0.16501	0.20137	0.0905	0.20732	0.19557
AG	AF	3	AG	3	1095	0.00777	0.03777	0.05296	0.08884	0.06889	0.00885	0.04197	0.10271	0.09661	0.08163	0.07561	0.08638	0.10982	0.12685	0.06299	0.14523	0.13202
AG	AF	3	AG	3	1095	0.00654	0.07878	0.10987	0.15827	0.12144	0.01021	0.06634	0.15228	0.13862	0.12001	0.11193	0.13273	0.20683	0.25582	0.10285	0.25795	0.22973
AG	AF	3	AG	3	1095	0.00734	0.1042	0.14149	0.17695	0.13578	0.01166	0.07737	0.15654	0.14045	0.13172	0.12685	0.16037	0.26058	0.34168	0.12281	0.31238	0.28289
AG	AF	3	AG	3	1095	0.01429	0.05505	0.07428	0.07234	0.06035	0.01332	0.02496	0.1158	0.10641	0.08114	0.08181	0.08693	0.13929	0.17403	0.07638	0.1834	0.16926
AG	AF	3	AG	3	1095	0.01097	0.08801	0.11935	0.1246	0.09928	0.01496	0.0398	0.14422	0.13358	0.10786	0.10411	0.11089	0.17569	0.21897	0.09389	0.22573	0.20578
AG	AF	3	AG	3	1095	0.00622	0.07683	0.10462	0.1408	0.10944	0.00988	0.05982	0.13434	0.12049	0.10826	0.1045	0.12419	0.19444	0.24458	0.09903	0.23336	0.21997
AG	AF	3	AG	3	1095	0.01159	0.07526	0.109	0.14567	0.11316	0.01522	0.05218	0.19037	0.17472	0.13489	0.12767	0.13941	0.21376	0.26461	0.11241	0.27796	0.24569
AG	AF	3	AG	3	1095	0.00989	0.06588	0.09445	0.15387	0.11889	0.01372	0.06298	0.15216	0.14278	0.12011	0.10942	0.12607	0.17846	0.21473	0.09645	0.22625	0.19923
AG	AF	3	AG	3	1095	0.0109	0.08655	0.12183	0.11778	0.09418	0.01384	0.03502	0.1606	0.14447	0.10914	0.10747	0.11416	0.18653	0.23527	0.09635	0.23328	0.21143
AG	AF	5	AG	5	1095	0.00801	0.06676	0.09365	0.12902	0.09716	0.0093	0.05693	0.1704	0.15414	0.12244	0.10966	0.1378	0.17243	0.20271	0.09118	0.23005	0.21196
AG	AF	5	AG	5	1095	0.01288	0.0765	0.10842	0.13486	0.10177	0.01278	0.03645	0.16901	0.15722	0.11824	0.10749	0.11294	0.16157	0.1778	0.08596	0.21315	0.18814
AG	AF	5	AG	5	1095	0.01033	0.10082	0.13777	0.15508	0.11933	0.01477	0.05562	0.1615	0.14282	0.12187	0.12017	0.13651	0.23843	0.29967	0.11384	0.2707	0.24514
AG	AF	5	AG	5	1095	0.0066	0.04622	0.06224	0.11571	0.08736	0.00861	0.05848	0.10473	0.09404	0.08506	0.07827	0.10742	0.15595	0.18268	0.07959	0.18025	0.1677
AG	AF	5	AG	5	1095	0.01417	0.04221	0.06317	0.07303	0.05916	0.01342	0.01792	0.14546	0.14762	0.10489	0.09872	0.08693	0.11846	0.1153	0.06995	0.17594	0.14876
AG	AF	5	AG	5	1095	0.00905	0.06905	0.09448	0.13957	0.10384	0.01194	0.06268	0.15761	0.14502	0.11909	0.1095	0.13941	0.18601	0.22327	0.09884	0.23911	0.21818
AG	AF	5	AG	5	1095	0.00774	0.08999	0.12623	0.17775	0.13226	0.0115	0.07225	0.20445	0.1837	0.14764	0.13472	0.1707	0.24225	0.29591	0.1193	0.31098	0.27975
AG	AF	5	AG	5	1095	0.00672	0.08778	0.12807	0.19917	0.14491	0.01222	0.08173	0.24638	0.21903	0.16767	0.14979	0.19169	0.25561	0.3018	0.12466	0.33283	0.29217
AG	AF	5	AG	5	1095	0.00533	0.05597	0.07967	0.14084	0.10595	0.00811	0.05668	0.12139	0.11056	0.09969	0.09028	0.1072	0.13817	0.15252	0.07166	0.15643	0.14126
AG	AF	7	AG	7	1095	0.00707	0.11655	0.15768	0.18394	0.13801	0.0115	0.0649	0.21071	0.18264	0.15095	0.14447	0.17755	0.26783	0.33896	0.13382	0.36384	0.34033
AG	AF	7	AG	7	1095	0.00843	0.08102	0.11198	0.14032	0.10733	0.01299	0.0468	0.15398	0.13359	0.106	0.09946	0.12454	0.17896	0.2229	0.09112	0.21578	0.19028
AG	AF	7	AG	7	1095	0.00707	0.07531	0.1079	0.18621	0.13863	0.01056	0.09516	0.1721	0.15372	0.13138	0.11558	0.15986	0.20952	0.24711	0.10696	0.25323	0.22259
AG	AF	7	AG	7	1095	0.00789	0.10866	0.14822	0.18601	0.13937	0.01379	0.06521	0.19711	0.17373	0.1414	0.13204	0.16198	0.23566	0.28947	0.12098	0.30781	0.2753
AG	AF	7	AG	7	1095	0.01012	0.07748	0.10422	0.10119	0.08105	0.01191	0.0308	0.16275	0.14354	0.10373	0.10364	0.11845	0.17945	0.20819	0.09382	0.22738	0.21851
AG	AF	7	AG	7	1095	0.00638	0.15846	0.2163	0.19421	0.14966	0.01225	0.06241	0.24028	0.19746	0.16799	0.17058	0.18911	0.36186	0.47947	0.15823	0.46279	0.44226
AG	AF	7	AG	7	1095	0.00594	0.03833	0.05133	0.07732	0.05983	0.0071	0.03109	0.08734	0.08013	0.06913	0.06758	0.07948	0.11903	0.13612	0.06425	0.14756	0.13944
AG	AF	7	AG	7	1095	0.00875	0.10403	0.14827	0.18673	0.13871	0.01513	0.05167	0.26865	0.24755	0.17482	0.16234	0.1738	0.26487	0.30996	0.1336	0.36464	0.31824
AG	AF	7	AG	7	1095	0.01066	0.09246	0.12656	0.1344	0.10489	0.01366	0.03171	0.19976	0.18297	0.13284	0.13084	0.14225	0.21205	0.25523	0.11223	0.29	0.27187
AG	AF	7	AG	7	1095	0.00662	0.1276	0.17199	0.19994	0.15073	0.01134	0.07127	0.22185	0.19894	0.16221	0.15204	0.19088	0.29859	0.38934	0.13683	0.3959	0.36471
AG	AF	9	AG	old	0	0.00792	0.02445	0.03652	0.03586	0.02891	0.0077	0.01179	0.08386	0.08025	0.05416	0.05135	0.05312	0.07119	0.07367	0.04196	0.1153	0.10189
AG	AF	9	AG	old	0	0.0128	0.0397	0.05856	0.05909	0.047	0.01163	0.0181	0.12989	0.12337	0.08216	0.07776	0.07979	0.10349	0.10261	0.06088	0.17083	0.15309
AG	AF	9	AG	old	0	0.01886	0.0702	0.09932	0.09793	0.07866	0.01609	0.02333	0.19468	0.18471	0.12342	0.11153	0.10771	0.16183	0.15995	0.09384	0.24004	0.21589
AG	AF	9	AG	old	0	0.01557	0.06208	0.08507	0.08041	0.06444	0.01294	0.01868	0.14819	0.14379	0.10711	0.09681	0.08997	0.11682	0.11674	0.072	0.1827	0.16982
AG	AF	9	AG	old	0	0.01533	0.05799	0.08258	0.07955	0.06297	0.01257	0.0198	0.1611	0.15349	0.10904	0.09984	0.09483	0.11805	0.11924	0.07127	0.1878	0.17024
AG	AF	9	AG	old	0	0.00828	0.03373	0.04742	0.04718	0.03811	0.00899	0.01299	0.09503	0.09347	0.07073	0.06548	0.06171	0.0783	0.07951	0.04972	0.11722	0.10847
AG	AF	11	AG	old	0	0.00966	0.03385	0.05018	0.04179	0.0339	0.00978	0.01247	0.10707	0.09852	0.0638	0.05894	0.05845	0.0786	0.07741	0.04649	0.12685	0.11637
AG	AF	11	AG	old	0	0.00688	0.02481	0.03845	0.03368	0.02745	0.00873	0.0118	0.10719	0.09885	0.06229	0.05716	0.05821	0.08293	0.08021	0.04749	0.13419	0.11636
AG	AF	11	AG	old	0	0.01183	0.04558	0.05977	0.0477	0.03984	0.00941	0.01254	0.11203	0.11021	0.07673	0.07162	0.07059	0.09576	0.09832	0.06193	0.19295	0.18669
AG	AF	11	AG	old	0	0.0099	0.03132	0.0432	0.03887	0.03192	0.008	0.01072	0.09071	0.08575	0.06353	0.05685	0.05448	0.07297	0.07095	0.04344	0.12006	0.1115
AG	AF	11	AG	old	0	0.01192	0.04038	0.05697	0.05272	0.04246	0.01044	0.01522	0.12175	0.1134	0.0802	0.07111	0.06904	0.0933	0.08735	0.05472	0.15184	0.13935
AG	AF	11	AG	old	0	0.01178	0.04327	0.06237	0.05039	0.03996	0.00874	0.01274	0.11972	0.11401	0.07625	0.07008	0.07071	0.08758	0.08712	0.05103	0.15168	0.14127
AG	AF	13	AG	old	0	0.01668	0.05719	0.08318	0.07114	0.05684	0.01357	0.01853	0.16059	0.15284	0.10197	0.09529	0.09355	0.12802	0.1296	0.07413	0.20124	0.18088
AG	AF	13	AG	old	0	0.01463	0.05533	0.07609	0.07593	0.05987	0.01352	0.01828	0.1381	0.13241	0.09779	0.08875	0.0835	0.11105	0.10773	0.06634	0.17982	0.16852
AG	AF	13	AG	old	0	0.01263	0.03847	0.05636	0.05688	0.04543	0.01212	0.01557	0.11537	0.10973	0.07519	0.06985	0.06756	0.09504	0.09024	0.05548	0.14487	0.1281
AG	AF	13	AG	old	0	0.01342	0.06159	0.09427	0.11548	0.0863	0.01438	0.04036	0.18392	0.1677	0.11234	0.10104	0.11156	0.13554	0.13826	0.0746	0.18865	0.16942
AG	AF	13	AG	old	0	0.01056	0.02915	0.04309	0.04346	0.03642	0.01058	0.01374	0.09609	0.09138	0.06546	0.06141	0.05819	0.06881	0.06838	0.04386	0.11682	0.10576
AR	BF	1	AR	1	6	0.01199	0.03552	0.05021	0.06597	0.05327	0.01332	0.0268	0.10925	0.10624	0.08065	0.07414	0.0749	0.09974	0.10298	0.05972	0.14737	0.12819
AR	BF	1	AR	1	6	0.0068	0.0381	0.05537	0.0564	0.04646	0.00964	0.01425	0.10728	0.10432	0.07474	0.06993	0.06751	0.09686	0.10532	0.05946	0.1383	0.12405
AR	BF	1	AR	1	6	0.00894	0.05155	0.07576	0.08745	0.07001	0.01409	0.02341	0.14717	0.14265	0.10529	0.09512	0.08704	0.11951	0.11709	0.07291	0.17264	0.15712
AR	BF	1	AR	1	6	0.01325	0.05835	0.0852	0.09213	0.0739	0.01535	0.02275	0.18653	0.18617	0.13073	0.12067	0.11298	0.16852	0.18037	0.09946	0.26389	0.2285
AR	BF	1	AR	1	6	0.01249	0.084	0.11966	0.15256	0.1176	0.01594	0.05285	0.19761	0.18541	0.14249	0.12909	0.13573	0.19112	0.22017	0.10487	0.26267	0.23313
AR	BF	1	AR	1	6	0.01135	0.06494	0.09158	0.07625	0.06197	0.01125	0.01707	0.16787	0.16071	0.10955	0.10208	0.09715	0.14671	0.16564	0.08453	0.21798	0.19739
AR	BF	1	AR	1	6	0.01273	0.04445	0.0629	0.07141	0.0589	0.01295	0.02129	0.12574	0.12227	0.08956	0.08491	0.08404	0.12507	0.14107	0.07512	0.18178	0.15876
AR	BF	1	AR	1	6	0.00931	0.06405	0.09372	0.10708	0.08444	0.01436	0.02926	0.18622	0.18228	0.13156	0.11838	0.10811	0.14646	0.14338	0.08692	0.21982	0.19551
AR	BF	1	AR	1	6	0.00812	0.03156	0.04607	0.04543	0.03764	0.00981	0.01257	0.10513	0.10659	0.07729	0.07286	0.06732	0.08951	0.08987	0.05628	0.1392	0.12767
AR	BF	1	AR	1	6	0.00829	0.0367	0.0501	0.05292	0.0434	0.01063	0.01667	0.09388	0.0936	0.07018	0.06577	0.06309	0.08562	0.09169	0.05515	0.12394	0.11573
AR	BF	1	AR	1	6	0.01273	0.0847	0.12368	0.10093	0.07892	0.01275	0.01819	0.22398	0.22366	0.14384	0.13041	0.11094	0.1465	0.14114	0.08685	0.25508	0.2315
AR	BF	1	AR	1	6	0.01187	0.05011	0.07695	0.06959	0.05581	0.01232	0.01649	0.16891	0.16539	0.10616	0.09787	0.08575	0.11176	0.10436	0.0674	0.1907	0.17636
AR	BF	1	AR	1	6	0.01161	0.07276	0.10458	0.11317	0.08803	0.01357	0.03109	0.20236	0.19877	0.14044	0.12677	0.12074	0.16835	0.17409	0.09738	0.25749	0.22734
AR	BF	1	AR	1	6	0.0064	0.02853	0.0407	0.04294	0.03556	0.0091	0.01284	0.0934	0.0933	0.06938	0.06463	0.06122	0.08282	0.08632	0.05306	0.12682	0.11474
AR	BF	1	AR	1	6	0.00808	0.0332	0.04672	0.05097	0.04206	0.01019	0.01553	0.09672	0.09551	0.06971	0.06422	0.06029	0.08002	0.07804	0.05073	0.1179	0.11054
AR	BF	1	AR	1	6	0.01047	0.07697	0.11129	0.11811	0.09319	0.01441	0.02909	0.21404	0.20745	0.14741	0.13377	0.1273	0.18822	0.20156	0.10636	0.28297	0.25191
