Status	Age	3275.94cm	2922.99cm	2853.55cm	1635.56cm	1540.09cm	1457.15cm	1379.04cm	1155.31	1076.23cm	1028.97cm	525.57cm
BF	1	0.05455	0.04868	0.03889	0.12004	0.11256	0.0679	0.0686	0.05486	0.06454	0.0607	0.1091
BF	1	0.05922	0.06756	0.05451	0.10902	0.10087	0.06955	0.07184	0.06994	0.09884	0.1153	0.132
BF	1	0.07072	0.09968	0.07794	0.15084	0.14283	0.09998	0.0992	0.09442	0.10823	0.10578	0.15944
BF	1	0.07228	0.1034	0.08239	0.12077	0.11154	0.08626	0.08634	0.08828	0.12569	0.15036	0.15851
BF	1	0.0495	0.06142	0.05072	0.07214	0.06739	0.05497	0.05806	0.05745	0.09352	0.11594	0.11725
BF	1	0.05146	0.05337	0.04232	0.11223	0.10514	0.06852	0.07027	0.05862	0.07447	0.07418	0.11583
BF	1	0.05605	0.05971	0.04837	0.10169	0.09503	0.06453	0.06618	0.06286	0.0935	0.10807	0.12598
BF	1	0.06528	0.08958	0.07048	0.13294	0.12665	0.08898	0.08779	0.0851	0.10424	0.10921	0.14482
BF	1	0.05449	0.05918	0.05007	0.07935	0.07338	0.05779	0.06081	0.05949	0.10064	0.12696	0.12813
BF	1	0.04863	0.05947	0.04923	0.09882	0.09532	0.06711	0.0694	0.06195	0.07787	0.0762	0.1135
BF	1	0.05126	0.0399	0.0326	0.10492	0.09461	0.06197	0.06443	0.05644	0.066	0.06695	0.11394
BF	1	0.04703	0.06592	0.05321	0.07767	0.07219	0.05757	0.05945	0.06382	0.09308	0.11057	0.12046
BF	1	0.05772	0.09623	0.07699	0.09881	0.09223	0.07878	0.07921	0.08624	0.11651	0.13692	0.14361
SF	1	0.05074	0.12223	0.09302	0.09299	0.08774	0.08369	0.08056	0.10218	0.12185	0.14277	0.15515
SF	1	0.04494	0.08495	0.0672	0.07	0.06527	0.06147	0.06135	0.07249	0.10097	0.12366	0.12474
SF	1	0.06331	0.09663	0.07617	0.10198	0.0953	0.07834	0.08109	0.08566	0.12786	0.15466	0.15577
SF	1	0.04333	0.09215	0.07189	0.07429	0.07045	0.06563	0.06545	0.0763	0.10195	0.12173	0.13269
SF	1	0.06242	0.10471	0.08226	0.09403	0.08698	0.07874	0.07964	0.09224	0.13005	0.16089	0.16208
SF	1	0.05915	0.0711	0.0586	0.07992	0.07331	0.06238	0.06499	0.07342	0.10439	0.13612	0.14136
SF	1	0.05069	0.07915	0.06207	0.09076	0.08607	0.06953	0.07226	0.07473	0.10625	0.12333	0.1401
SF	1	0.04307	0.03809	0.0326	0.07307	0.06868	0.05026	0.05479	0.05274	0.08454	0.10252	0.11836
