"","time","An.gambiae","An.arabiensis","An.gambiaeInt"
"1",1,0.105407399599452,0.18910741301059,0.237642585551331
"2",2,0.0956045114367029,0.152420574886536,0.213878326996198
"3",3,0.0872773268683462,0.124432677760968,0.192728136882129
"4",4,0.0792663644987878,0.104954614220877,0.123098859315589
"5",5,0.0741014019184147,0.0849092284417549,0.0836501901140684
"6",6,0.0676715505428481,0.071482602118003,0.0551330798479087
"7",7,0.0615579213660799,0.056732223903177,0.0356463878326996
"8",8,0.0559713291873089,0.0442511346444781,0.0223384030418251
"9",9,0.0507009592073364,0.0361195158850227,0.0133079847908745
"10",10,0.0456414040265627,0.0287443267776097,0.00807984790874525
"11",11,0.0418467376409824,0.0225037821482602,0.00546577946768061
"12",12,0.0366817750606093,0.0175869894099849,0.00403992395437262
"13",13,0.0323600716770317,0.0141830559757943,0.00190114068441065
"14",14,0.0301465162854432,0.0122919818456884,0.000950570342205323
"15",15,0.0275113312954569,0.010590015128593,0.000950570342205323
"16",16,0.0259302203014652,0.00850983358547655,0.000712927756653992
"17",17,0.0239274797090756,0.00737518910741301,0.000237642585551331
"18",18,0.0210814799198904,0.00586232980332829,0.000237642585551331
"19",19,0.0193949615262991,0.00416036308623298,0
"20",20,0.0179192579319068,0.0037821482602118,0
