Accuracy,params,seed,TRAIN,TEST,Feature importances
15.2368201147,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 6, 'min_child_weight': 7, 'n_estimators': 30}",,"[   0    1    2 ..., 2224 2225 2226]","[   8   11   20   31   49   70   76   78   87   98  115  125  136  137  144
  157  162  169  175  189  209  222  224  229  245  253  258  260  273  275
  276  288  297  301  330  342  347  357  358  362  376  391  398  405  406
  409  411  412  416  417  431  449  461  467  476  485  497  517  518  534
  542  554  568  570  574  582  597  602  640  664  667  675  691  716  722
  726  730  734  740  751  753  774  779  793  798  808  809  824  863  878
  879  885  888  898  907  918  919  932  943  956  965  968  989  999 1014
 1019 1021 1031 1037 1074 1079 1086 1094 1115 1116 1126 1128 1139 1148 1151
 1164 1171 1184 1187 1188 1205 1222 1261 1263 1277 1290 1293 1298 1299 1307
 1321 1342 1349 1354 1357 1403 1444 1449 1450 1471 1486 1513 1514 1518 1524
 1527 1547 1562 1582 1601 1606 1617 1618 1628 1632 1639 1652 1658 1665 1674
 1693 1695 1728 1731 1735 1738 1749 1757 1761 1769 1772 1782 1787 1797 1818
 1826 1832 1837 1850 1863 1871 1877 1879 1886 1887 1888 1894 1895 1909 1910
 1943 1944 1949 1961 1967 1980 1991 1997 1999 2010 2023 2025 2031 2039 2091
 2102 2110 2118 2120 2129 2159 2169 2180 2183 2187 2219 2220 2222]","{0: {'3856': 0.08743169158697128, '1027': 0.08352849632501602, '2923': 0.08196721225976944, '1746': 0.08196721225976944, '3400': 0.07884465157985687, '1901': 0.07728337496519089, '1076': 0.07494144886732101, '1457': 0.0671350508928299, '1154': 0.05230288952589035, '526': 0.05230288952589035, '880': 0.04839968681335449, '1636': 0.04683840647339821, '1539': 0.04683840647339821, '2854': 0.04449648782610893, '1307': 0.04371584579348564, '3276': 0.032006245106458664}}"
12.0982426539,"{'colsample_bytree': 1, 'learning_rate': 0.1, 'max_depth': 8, 'min_child_weight': 7, 'n_estimators': 30}",,"[   0    1    2 ..., 2224 2225 2226]","[  26   29   47   57   58   66   67   68   75   88  104  109  113  126  131
  132  138  147  148  153  158  163  182  213  215  221  225  231  233  236
  238  247  252  261  280  281  283  286  295  299  308  315  325  354  356
  372  404  433  436  446  468  486  495  501  508  516  531  539  550  565
  571  576  600  609  615  630  637  644  656  661  665  686  694  712  717
  728  736  741  742  744  750  758  772  785  814  818  828  829  832  840
  852  853  855  875  890  895  906  925  930  939  947  973  975  983  984
  986  993  998 1057 1058 1087 1089 1091 1099 1100 1101 1106 1110 1113 1121
 1130 1181 1194 1195 1209 1211 1224 1227 1243 1252 1264 1268 1271 1282 1284
 1286 1303 1323 1331 1335 1345 1367 1371 1374 1377 1381 1382 1389 1398 1410
 1414 1442 1454 1455 1465 1482 1490 1496 1512 1520 1525 1532 1534 1539 1542
 1549 1560 1578 1579 1600 1635 1651 1657 1670 1689 1696 1713 1742 1744 1754
 1758 1763 1765 1773 1774 1791 1803 1806 1816 1820 1836 1845 1858 1876 1919
 1926 1927 1962 1966 1975 1989 1996 2008 2014 2020 2024 2050 2052 2061 2066
 2076 2081 2103 2115 2133 2137 2161 2175 2200 2207 2213 2214 2221]","{0: {'3856': 0.11411764472723007, '1901': 0.1070588231086731, '2923': 0.07764706015586853, '1027': 0.07254902273416519, '3400': 0.0721568614244461, '1746': 0.06509803980588913, '1076': 0.06313725560903549, '1154': 0.05686274543404579, '880': 0.051764704287052155, '2854': 0.051372550427913666, '1457': 0.048627451062202454, '1636': 0.04588235169649124, '526': 0.04549019783735275, '3276': 0.04470588266849518, '1539': 0.043921567499637604, '1307': 0.03960784152150154}}"
14.2093490697,"{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 6, 'min_child_weight': 5, 'n_estimators': 30}",,"[   0    1    2 ..., 2223 2224 2225]","[  34   37   38   41   44   53   64   83   89   90  102  116  133  139  146
  155  161  164  178  179  188  223  226  230  256  290  306  316  333  335
  337  352  374  375  377  390  414  422  425  427  430  438  440  448  452
  454  463  473  487  492  493  499  513  544  546  594  596  611  631  649
  659  662  674  682  705  707  719  735  745  761  780  782  802  805  821
  826  830  834  836  845  848  849  850  872  874  921  922  929  948  964
  971  976  977  991 1020 1023 1033 1036 1039 1048 1055 1064 1067 1068 1076
 1096 1122 1127 1134 1137 1143 1144 1153 1157 1160 1167 1172 1180 1197 1200
 1201 1207 1226 1231 1245 1262 1275 1279 1287 1289 1295 1309 1310 1312 1324
 1328 1338 1350 1359 1362 1370 1383 1386 1409 1423 1431 1443 1451 1458 1479
 1488 1499 1503 1505 1511 1535 1546 1553 1563 1583 1584 1599 1608 1612 1613
 1631 1644 1655 1656 1666 1679 1687 1690 1704 1727 1745 1764 1766 1768 1770
 1777 1778 1786 1788 1790 1792 1800 1809 1843 1844 1853 1869 1870 1875 1905
 1915 1922 1937 1947 1974 1992 2003 2006 2022 2026 2038 2040 2057 2070 2085
 2087 2114 2116 2121 2135 2166 2168 2179 2196 2203 2205 2211 2226]","{0: {'3856': 0.09595959633588791, '2923': 0.08946608752012253, '1746': 0.08946608752012253, '1027': 0.0793650820851326, '1076': 0.07647907733917236, '1901': 0.0714285746216774, '3400': 0.06565656512975693, '1457': 0.06565656512975693, '1307': 0.051948051899671555, '1154': 0.051948051899671555, '2854': 0.051226552575826645, '1636': 0.04689754545688629, '880': 0.04689754545688629, '3276': 0.04256854206323624, '1539': 0.0396825410425663, '526': 0.035353533923625946}}"
14.7301478065,"{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 8, 'min_child_weight': 5, 'n_estimators': 30}",,"[   0    1    3 ..., 2224 2225 2226]","[   2    5   10   13   15   19   40   55   63   65   71   72   74   92  110
  111  124  135  186  191  204  237  248  254  265  279  285  289  293  303
  309  317  326  336  345  353  381  392  394  401  408  413  428  429  447
  450  462  496  502  511  523  537  549  559  566  575  577  587  598  604
  605  632  634  641  645  652  660  670  678  683  690  693  698  704  727
  731  738  739  767  787  788  791  812  816  827  860  869  870  880  887
  901  908  926  928  934  935  955  960  966  980  981  988  990  992  994
 1002 1003 1005 1016 1035 1040 1043 1059 1090 1109 1112 1117 1131 1141 1158
 1177 1178 1179 1186 1190 1202 1204 1219 1221 1234 1236 1238 1246 1274 1294
 1297 1304 1317 1322 1344 1352 1366 1368 1369 1384 1413 1421 1425 1426 1436
 1445 1456 1497 1531 1543 1550 1558 1559 1573 1589 1603 1604 1646 1648 1649
 1654 1671 1683 1692 1709 1733 1734 1750 1753 1793 1794 1822 1872 1889 1900
 1913 1918 1929 1931 1932 1934 1950 1958 1968 1970 1985 1998 2000 2004 2016
 2037 2041 2043 2044 2045 2047 2058 2078 2083 2088 2090 2092 2095 2101 2105
 2108 2119 2123 2128 2130 2150 2151 2171 2186 2190 2208 2209 2218]","{0: {'3856': 0.09504273533821106, '1746': 0.08205128461122513, '1901': 0.0765811949968338, '1027': 0.07487179338932037, '3400': 0.0728205144405365, '2923': 0.07213675230741501, '1154': 0.0690598264336586, '1076': 0.06700854748487473, '1457': 0.06256410479545593, '2854': 0.06222222372889519, '880': 0.05059828981757164, '526': 0.04888888821005821, '1636': 0.04854700714349747, '1539': 0.04273504391312599, '1307': 0.041709400713443756, '3276': 0.03316239267587662}}"
15.3863362709,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 6, 'min_child_weight': 5, 'n_estimators': 30}",,"[   0    1    2 ..., 2223 2225 2226]","[  17   21   33   35   42   79  120  127  150  159  166  167  172  193  206
  227  228  239  244  257  270  277  292  319  322  332  334  341  366  369
  379  380  385  399  402  420  424  435  437  442  445  479  483  489  509
  521  524  526  527  535  545  547  556  564  567  578  579  588  593  608
  610  617  618  620  624  639  650  658  666  669  672  676  677  684  685
  689  696  703  708  718  732  737  743  799  822  839  842  844  857  859
  868  877  896  905  916  917  958  963  987 1000 1012 1018 1056 1061 1071
 1124 1132 1133 1136 1140 1163 1176 1199 1212 1215 1220 1233 1235 1241 1249
 1255 1265 1283 1291 1292 1296 1313 1314 1329 1332 1346 1360 1363 1379 1387
 1388 1396 1404 1407 1408 1419 1420 1435 1439 1453 1460 1468 1487 1506 1526
 1565 1567 1568 1587 1591 1594 1609 1610 1630 1638 1640 1673 1681 1702 1705
 1708 1711 1719 1737 1739 1752 1775 1789 1808 1810 1813 1825 1828 1838 1842
 1847 1855 1859 1865 1884 1892 1901 1914 1936 1938 1956 1960 1973 1978 1983
 1988 2005 2018 2042 2053 2059 2060 2072 2077 2079 2094 2097 2107 2109 2113
 2126 2142 2146 2162 2163 2167 2176 2177 2194 2195 2197 2206 2224]","{0: {'1901': 0.10167130827903748, '3856': 0.09052924811840057, '2923': 0.08147632330656052, '3400': 0.07729805260896683, '1746': 0.07660166919231415, '1027': 0.07311977446079254, '1076': 0.06894150376319885, '1636': 0.06197771430015564, '1154': 0.059888578951358795, '1539': 0.05640668421983719, '1457': 0.054317548871040344, '2854': 0.04596100375056267, '526': 0.04247910901904106, '880': 0.038300834596157074, '3276': 0.03760445863008499, '1307': 0.033426184207201004}}"
13.4208159971,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 6, 'min_child_weight': 7, 'n_estimators': 30}",,"[   0    1    2 ..., 2224 2225 2226]","[   4   25   27   30   45   46   50   51   59   99  105  112  118  128  141
  152  154  170  194  202  211  218  246  251  278  282  300  305  312  313
  323  324  328  331  349  363  364  368  370  418  419  441  455  457  459
  465  477  482  512  515  538  557  573  581  584  601  612  616  636  642
  655  663  692  695  723  725  757  759  765  770  777  786  794  804  815
  819  831  833  858  862  866  867  871  873  891  893  902  909  911  913
  936  937  944  945  949  953  961  969  979  997 1001 1006 1007 1011 1027
 1032 1041 1049 1072 1075 1085 1159 1162 1170 1173 1175 1203 1206 1208 1213
 1239 1248 1260 1266 1272 1278 1311 1315 1318 1327 1334 1343 1372 1378 1394
 1400 1422 1428 1429 1430 1432 1437 1461 1463 1472 1489 1491 1493 1498 1502
 1504 1522 1536 1541 1545 1552 1581 1585 1590 1598 1614 1619 1620 1626 1643
 1645 1647 1660 1668 1672 1676 1682 1685 1700 1707 1714 1715 1723 1748 1759
 1780 1796 1798 1804 1811 1817 1848 1849 1868 1874 1881 1883 1893 1907 1908
 1924 1933 1946 1953 1954 1969 1972 1976 1984 1990 1994 2002 2021 2028 2032
 2051 2063 2067 2074 2122 2138 2140 2148 2155 2160 2164 2181 2216]","{0: {'3856': 0.10411622375249863, '1901': 0.08878127485513687, '2923': 0.0879741758108139, '1027': 0.08313155919313431, '1746': 0.07990314811468124, '3400': 0.07425343245267868, '1076': 0.06698951125144958, '1154': 0.06133979186415672, '1457': 0.058918483555316925, '2854': 0.05569007247686386, '1307': 0.05165455862879753, '880': 0.044390637427568436, '1636': 0.04116222634911537, '526': 0.040355123579502106, '1539': 0.03309120237827301, '3276': 0.028248587623238564}}"
15.9909890509,"{'colsample_bytree': 1, 'learning_rate': 0.2, 'max_depth': 4, 'min_child_weight': 3, 'n_estimators': 30}",,"[   0    1    2 ..., 2224 2225 2226]","[  14   18   36   39   54   62   73   77   80   93   95  101  106  114  123
  130  168  180  181  184  198  208  214  219  220  249  262  284  287  294
  304  307  310  321  340  343  367  395  472  481  484  494  503  506  520
  522  525  543  558  580  583  585  595  625  629  651  654  671  679  681
  701  713  715  721  724  747  755  764  766  775  776  783  789  790  800
  803  810  811  823  837  838  841  846  876  886  889  892  897  904  923
  931  952  954  957  962  967  974  982  995  996 1008 1010 1042 1052 1060
 1066 1077 1098 1107 1114 1118 1145 1149 1155 1189 1191 1217 1218 1223 1237
 1240 1244 1301 1302 1306 1319 1326 1330 1348 1351 1361 1364 1405 1412 1417
 1424 1433 1434 1448 1452 1470 1477 1478 1495 1501 1517 1528 1548 1554 1555
 1556 1569 1592 1602 1625 1641 1642 1650 1659 1664 1669 1699 1710 1716 1720
 1721 1724 1730 1746 1756 1776 1783 1784 1807 1812 1815 1827 1831 1835 1841
 1846 1862 1873 1880 1898 1902 1903 1928 1940 1957 1963 1979 1981 2009 2012
 2015 2017 2027 2046 2062 2064 2065 2068 2082 2089 2096 2098 2106 2127 2132
 2141 2145 2147 2152 2154 2158 2178 2182 2188 2204 2210 2212 2223]","{0: {'1027': 0.10476190596818924, '3400': 0.10238095372915268, '3856': 0.10000000149011612, '1901': 0.08095238357782364, '1746': 0.07619047909975052, '2923': 0.07380952686071396, '526': 0.06428571790456772, '3276': 0.06190476194024086, '1636': 0.05714285746216774, '1457': 0.05476190522313118, '880': 0.05000000074505806, '1154': 0.04523809626698494, '1076': 0.04285714402794838, '2854': 0.02857142873108387, '1539': 0.02857142873108387, '1307': 0.02857142873108387}}"
13.0124404001,"{'colsample_bytree': 1, 'learning_rate': 0.1, 'max_depth': 6, 'min_child_weight': 5, 'n_estimators': 30}",,"[   0    2    4 ..., 2224 2225 2226]","[   1    3    6    7   22   23   24   32   52   60   61   81   97  100  103
  108  117  122  134  142  171  176  177  192  196  200  201  203  210  212
  216  234  263  264  266  267  268  271  274  311  318  320  338  348  350
  351  359  378  382  383  384  387  389  397  403  407  423  432  434  444
  451  458  470  471  474  475  490  491  504  507  530  536  541  563  590
  591  592  621  623  626  628  643  646  657  687  699  714  720  752  760
  763  768  771  773  781  806  813  820  825  854  861  864  882  900  903
  910  940  941  942  970 1015 1017 1025 1028 1030 1038 1069 1081 1088 1092
 1095 1104 1108 1119 1123 1125 1147 1168 1169 1182 1183 1192 1193 1198 1229
 1232 1250 1253 1259 1267 1273 1281 1285 1300 1340 1341 1358 1365 1402 1406
 1415 1418 1441 1447 1457 1467 1476 1480 1481 1483 1485 1500 1508 1519 1521
 1544 1561 1574 1575 1576 1577 1593 1595 1596 1611 1616 1623 1624 1653 1667
 1675 1677 1678 1680 1697 1701 1706 1718 1722 1725 1726 1747 1762 1779 1801
 1805 1814 1839 1854 1856 1860 1885 1891 1899 1925 1930 1986 1993 2001 2055
 2080 2086 2111 2139 2165 2173 2174 2192 2198 2199 2202 2215]","{0: {'3856': 0.13101406395435333, '1901': 0.11176905781030655, '1027': 0.09104367345571518, '1746': 0.08216135948896408, '2923': 0.07401924580335617, '3400': 0.07031828165054321, '880': 0.06365655362606049, '1457': 0.05773501098155975, '2854': 0.050333086401224136, '1154': 0.04811250790953636, '526': 0.04663212597370148, '1076': 0.04293116182088852, '3276': 0.037009622901678085, '1636': 0.03404885157942772, '1307': 0.031088082119822502, '1539': 0.028127312660217285}}"
16.4833638571,"{'colsample_bytree': 0.6, 'learning_rate': 0.1, 'max_depth': 6, 'min_child_weight': 5, 'n_estimators': 30}",,"[   1    2    3 ..., 2224 2225 2226]","[   0   12   16   28   43   48   69   82   84   85   91   94   96  129  140
  160  173  185  195  197  205  232  235  241  242  269  272  298  302  314
  329  339  344  346  355  361  365  371  386  410  464  469  528  533  551
  553  555  561  572  599  606  613  614  619  622  627  633  635  638  668
  673  697  700  702  710  733  756  762  769  778  784  792  796  801  817
  847  851  856  881  884  899  914  950  959  978  985 1009 1013 1034 1044
 1045 1046 1047 1051 1053 1062 1063 1070 1084 1093 1103 1111 1120 1129 1142
 1152 1154 1161 1165 1166 1174 1196 1210 1216 1225 1230 1254 1256 1269 1280
 1316 1325 1336 1353 1356 1373 1380 1385 1392 1393 1416 1446 1462 1464 1466
 1473 1475 1484 1492 1507 1509 1515 1516 1529 1530 1537 1538 1557 1564 1570
 1572 1586 1597 1607 1615 1627 1629 1633 1636 1661 1686 1688 1698 1703 1729
 1736 1740 1741 1755 1781 1802 1819 1823 1833 1834 1861 1866 1867 1878 1882
 1890 1896 1904 1916 1917 1920 1923 1941 1942 1945 1948 1951 1952 1964 1971
 2007 2019 2029 2030 2033 2035 2036 2049 2054 2056 2069 2073 2093 2104 2112
 2117 2131 2136 2144 2149 2153 2170 2172 2184 2191 2193 2201]","{0: {'1746': 0.09363295882940292, '3856': 0.08838951587677002, '2923': 0.08838951587677002, '1027': 0.08464419841766357, '1901': 0.07265917956829071, '1076': 0.0696629211306572, '3400': 0.062172286212444305, '2854': 0.05842696502804756, '1636': 0.0569288395345211, '1154': 0.05318352207541466, '526': 0.049438200891017914, '880': 0.048689138144254684, '1457': 0.047940075397491455, '1307': 0.04569288343191147, '1539': 0.04194756597280502, '3276': 0.03820224851369858}}"
13.8105589925,"{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 6, 'min_child_weight': 5, 'n_estimators': 30}",,"[   0    1    2 ..., 2223 2224 2226]","[   9   56   86  107  119  121  143  145  149  151  156  165  174  183  187
  190  199  207  217  240  243  250  255  259  291  296  327  360  373  388
  393  396  400  415  421  426  439  443  453  456  460  466  478  480  488
  498  500  505  510  514  519  529  532  540  548  552  560  562  569  586
  589  603  607  647  648  653  680  688  706  709  711  729  746  748  749
  754  795  797  807  835  843  865  883  894  912  915  920  924  927  933
  938  946  951  972 1004 1022 1024 1026 1029 1050 1054 1065 1073 1078 1080
 1082 1083 1097 1102 1105 1135 1138 1146 1150 1156 1185 1214 1228 1242 1247
 1251 1257 1258 1270 1276 1288 1305 1308 1320 1333 1337 1339 1347 1355 1375
 1376 1390 1391 1395 1397 1399 1401 1411 1427 1438 1440 1459 1469 1474 1494
 1510 1523 1533 1540 1551 1566 1571 1580 1588 1605 1621 1622 1634 1637 1662
 1663 1684 1691 1694 1712 1717 1732 1743 1751 1760 1767 1771 1785 1795 1799
 1821 1824 1829 1830 1840 1851 1852 1857 1864 1897 1906 1911 1912 1921 1935
 1939 1955 1959 1965 1977 1982 1987 1995 2011 2013 2034 2048 2071 2075 2084
 2099 2100 2124 2125 2134 2143 2156 2157 2185 2189 2217 2225]","{0: {'3856': 0.10663841664791107, '1027': 0.09322033822536469, '1901': 0.0762711837887764, '2923': 0.07556497305631638, '1746': 0.07132768630981445, '3400': 0.0692090392112732, '2854': 0.06709039211273193, '1076': 0.06638418138027191, '1154': 0.06426553428173065, '1457': 0.06002824753522873, '1539': 0.05579096078872681, '526': 0.04661016911268234, '1636': 0.04096045345067978, '1307': 0.03954802080988884, '880': 0.03672316297888756, '3276': 0.030367230996489525}}"
