Accuracy,params,seed,TRAIN,TEST,Feature importances
15.2667600671,"{'colsample_bytree': 0.3, 'max_depth': 6, 'n_estimators': 30, 'min_child_weight': 1, 'learning_rate': 0.1}",,"[   0    1    2 ..., 2130 2131 2132]","[   8   11   31   49   57   58   76   87   88   98  113  125  131  136  144
  147  157  162  169  189  209  229  236  252  258  260  273  275  276  280
  288  295  325  342  354  358  372  376  404  412  416  427  446  449  461
  467  473  476  486  487  495  516  518  534  542  544  546  554  568  574
  576  600  615  637  645  661  662  664  665  667  719  727  728  731  735
  736  740  744  761  767  787  799  802  805  828  830  840  848  852  874
  875  917  935  939  948  956  963  988  990 1002 1016 1019 1020 1058 1071
 1089 1096 1109 1137 1157 1158 1176 1179 1188 1190 1194 1195 1197 1205 1211
 1222 1226 1233 1234 1248 1255 1264 1286 1303 1309 1328 1334 1345 1352 1361
 1363 1372 1379 1403 1408 1409 1419 1425 1429 1437 1444 1445 1449 1451 1503
 1513 1541 1542 1545 1548 1560 1568 1587 1602 1619 1632 1640 1647 1653 1667
 1669 1706 1713 1724 1730 1738 1739 1744 1750 1754 1759 1765 1766 1777 1778
 1783 1794 1804 1805 1810 1818 1826 1845 1849 1861 1878 1879 1888 1890 1893
 1903 1915 1941 1945 1957 1961 2002 2007 2015 2019 2030 2056 2057 2066 2077
 2091 2110 2111 2115]","{0: {'1154': 0.054000001, '1636': 0.076666668, '1075': 0.043333333, '1026': 0.063333333, '1901': 0.048666667, '2923': 0.092666663, '1457': 0.041333333, '3400': 0.055333335, '401': 0.063333333, '1539': 0.043333333, '2854': 0.045333333, '1307': 0.054000001, '3276': 0.11066667, '1746': 0.052000001, '880': 0.025333334, '526': 0.081333332, '3856': 0.049333334}}"
17.4289946085,"{'colsample_bytree': 0.7, 'max_depth': 4, 'n_estimators': 30, 'min_child_weight': 1, 'learning_rate': 0.1}",,"[   0    1    2 ..., 2130 2131 2132]","[  26   29   47   53   64   66   67   68   70   75   83  102  109  126  132
  133  137  138  146  153  158  163  175  178  188  213  225  230  231  233
  245  253  261  283  286  301  306  315  333  337  356  357  362  375  377
  390  398  405  406  409  411  414  417  431  433  501  508  513  517  539
  550  565  570  596  597  609  611  630  640  656  670  675  678  683  694
  707  712  716  726  739  774  779  780  785  791  812  814  834  850  859
  869  880  885  887  890  895  905  908  955  964  971  973  976  981  989
  991  993 1021 1035 1059 1061 1067 1076 1087 1090 1094 1112 1124 1127 1130
 1143 1153 1164 1175 1209 1215 1224 1243 1252 1260 1261 1272 1289 1292 1294
 1295 1297 1324 1330 1343 1349 1350 1354 1362 1368 1383 1388 1394 1404 1413
 1417 1430 1443 1450 1477 1491 1495 1501 1527 1531 1544 1608 1613 1618 1638
 1642 1655 1668 1671 1673 1704 1709 1720 1721 1735 1757 1758 1761 1780 1825
 1831 1834 1838 1839 1843 1855 1865 1868 1872 1884 1909 1919 1920 1933 1936
 1944 1947 2000 2001 2009 2014 2020 2033 2035 2036 2044 2083 2085 2099 2105
 2107 2112 2114 2118]","{0: {'1539': 0.043678161, '1154': 0.034482758, '3276': 0.03908046, '1075': 0.029885057, '1026': 0.050574712, '1636': 0.022988506, '1901': 0.096551724, '2923': 0.050574712, '1457': 0.073563218, '3400': 0.04137931, '401': 0.057471264, '880': 0.029885057, '1307': 0.04137931, '2854': 0.11034483, '1746': 0.11034483, '526': 0.096551724, '3856': 0.071264371}}"
15.8063680314,"{'colsample_bytree': 0.6, 'max_depth': 4, 'n_estimators': 15, 'min_child_weight': 7, 'learning_rate': 0.2}",,"[   0    1    2 ..., 2130 2131 2132]","[  10   13   34   40   41   65   72   89   90   92  111  139  164  179  186
  204  222  223  226  256  281  299  303  316  317  336  347  352  374  381
  422  425  428  429  438  440  447  450  452  463  492  493  497  499  502
  511  549  566  571  575  577  582  594  631  644  649  659  660  674  682
  690  698  704  717  722  730  741  751  758  772  788  798  809  818  822
  826  829  839  849  855  860  863  872  877  888  898  916  922  926  928
  929  930  943  965  968  975  984  986 1000 1037 1040 1074 1086 1099 1100
 1115 1116 1126 1128 1133 1134 1140 1141 1148 1167 1172 1178 1186 1187 1199
 1200 1202 1212 1220 1231 1236 1246 1265 1266 1275 1293 1296 1321 1323 1364
 1366 1377 1382 1420 1426 1453 1455 1482 1486 1487 1496 1499 1517 1520 1522
 1553 1554 1556 1559 1569 1590 1592 1593 1595 1604 1616 1617 1620 1624 1631
 1644 1650 1670 1680 1681 1683 1690 1699 1740 1745 1746 1775 1784 1792 1803
 1828 1836 1863 1867 1869 1881 1895 1908 1910 1911 1925 1928 1940 1959 1968
 1975 1978 1993 1997 1998 2008 2039 2061 2070 2074 2075 2079 2084 2088 2095
 2103 2120 2126 2128]","{0: {'1154': 0.047619049, '1539': 0.047619049, '1075': 0.057142857, '1026': 0.06666667, '1636': 0.042857144, '1901': 0.090476193, '526': 0.076190479, '2923': 0.052380953, '1457': 0.080952384, '3400': 0.01904762, '401': 0.06666667, '880': 0.01904762, '1307': 0.033333335, '3276': 0.057142857, '1746': 0.1, '2854': 0.090476193, '3856': 0.052380953}}"
15.1091955394,"{'colsample_bytree': 0.7, 'max_depth': 4, 'n_estimators': 30, 'min_child_weight': 7, 'learning_rate': 0.1}",,"[   0    1    3 ..., 2128 2129 2131]","[   2    5   15   17   55   63   71   74  110  120  124  127  166  172  191
  227  247  248  254  265  277  285  289  293  309  322  326  334  353  366
  369  379  380  385  392  394  401  402  408  413  420  437  462  479  496
  509  521  523  526  527  535  545  547  556  559  567  579  587  588  593
  598  604  605  608  617  618  632  634  641  650  652  658  669  672  677
  684  693  703  718  732  734  737  753  782  793  808  816  824  827  832
  836  853  878  879  896  901  906  907  918  919  921  934  958  960  980
  994  998  999 1018 1036 1048 1055 1057 1079 1085 1113 1122 1132 1136 1139
 1144 1159 1160 1204 1207 1239 1263 1268 1271 1274 1278 1279 1287 1290 1298
 1307 1312 1332 1335 1338 1346 1371 1381 1400 1405 1432 1434 1435 1439 1454
 1463 1470 1471 1502 1504 1505 1512 1534 1539 1546 1547 1550 1561 1585 1591
 1601 1635 1641 1646 1652 1657 1660 1666 1672 1675 1685 1711 1723 1734 1749
 1753 1770 1798 1801 1808 1812 1817 1847 1850 1862 1892 1898 1902 1907 1938
 1942 1950 1955 1964 1969 1972 1974 1982 1985 2004 2006 2010 2059 2068 2072
 2121 2130 2132]","{0: {'1539': 0.046798028, '1154': 0.032019705, '3276': 0.049261082, '880': 0.034482758, '1026': 0.08128079, '1636': 0.024630541, '1901': 0.078817733, '2923': 0.059113301, '1457': 0.08374384, '3400': 0.04187192, '401': 0.056650247, '1075': 0.019704433, '1307': 0.04187192, '2854': 0.1182266, '1746': 0.11083744, '526': 0.073891625, '3856': 0.046798028}}"
18.2834946928,"{'colsample_bytree': 0.3, 'max_depth': 4, 'n_estimators': 30, 'min_child_weight': 7, 'learning_rate': 0.1}",,"[   0    1    2 ..., 2130 2131 2132]","[  19   20   21   33   35   38   42   44   78   79   99  104  115  128  135
  141  150  152  155  159  161  167  193  206  215  221  224  228  237  238
  239  244  251  257  270  279  290  292  300  305  319  330  332  341  345
  368  391  399  424  430  435  436  442  445  455  468  483  489  512  524
  537  557  578  584  620  624  642  663  666  676  685  696  705  708  738
  743  750  770  804  815  819  833  857  858  866  868  891  893  911  925
  932  937  966  979  983  987  997 1001 1003 1005 1006 1007 1014 1023 1033
 1039 1064 1068 1101 1110 1117 1121 1131 1151 1171 1181 1184 1203 1219 1235
 1238 1245 1249 1262 1291 1310 1313 1317 1322 1329 1367 1378 1384 1389 1396
 1407 1412 1424 1428 1433 1460 1478 1497 1514 1518 1532 1536 1562 1565 1575
 1581 1584 1589 1599 1600 1609 1614 1645 1665 1696 1701 1705 1731 1736 1742
 1752 1756 1763 1768 1773 1774 1776 1787 1789 1793 1807 1814 1842 1848 1851
 1856 1858 1866 1871 1876 1880 1887 1899 1901 1914 1916 1929 1930 1937 1949
 1954 1958 1981 1983 1986 1996 1999 2005 2024 2027 2052 2055 2071 2101 2104
 2113 2116 2127]","{0: {'1154': 0.047619049, '1636': 0.067669176, '3276': 0.072681703, '1075': 0.04010025, '1026': 0.062656641, '1901': 0.050125312, '526': 0.065162905, '1457': 0.062656641, '3400': 0.04010025, '1539': 0.032581452, '401': 0.080200501, '880': 0.03508772, '1307': 0.062656641, '2854': 0.062656641, '1746': 0.067669176, '2923': 0.11027569, '3856': 0.04010025}}"
18.67291879,"{'colsample_bytree': 0.5, 'max_depth': 4, 'n_estimators': 30, 'min_child_weight': 5, 'learning_rate': 0.1}",,"[   0    1    2 ..., 2130 2131 2132]","[   4   18   25   27   30   36   45   46   50   51   59   77  105  112  118
  154  170  194  202  211  214  218  246  278  282  287  310  312  313  321
  323  324  328  331  349  363  364  367  370  418  419  441  457  459  465
  477  482  515  525  538  558  573  581  601  612  616  629  636  654  655
  692  695  723  724  725  747  757  759  765  777  786  790  794  810  831
  837  841  862  867  871  873  889  897  902  909  913  923  936  944  945
  949  953  954  961  962  969  995  996 1011 1027 1032 1041 1042 1049 1066
 1072 1075 1091 1098 1106 1107 1114 1149 1162 1163 1170 1173 1177 1180 1201
 1208 1213 1221 1223 1227 1277 1283 1284 1299 1304 1311 1315 1318 1327 1331
 1369 1370 1386 1398 1410 1414 1423 1448 1452 1456 1458 1479 1490 1493 1498
 1506 1524 1543 1582 1583 1603 1610 1611 1628 1630 1639 1643 1654 1656 1658
 1664 1676 1677 1689 1692 1693 1695 1710 1716 1718 1719 1726 1727 1747 1748
 1772 1800 1806 1811 1815 1816 1820 1823 1827 1832 1837 1846 1875 1896 1924
 1927 1934 1946 1956 1966 1967 1980 2021 2043 2048 2054 2067 2069 2073 2087
 2089 2119 2123]","{0: {'1539': 0.05839416, '1154': 0.053527981, '880': 0.03163017, '1026': 0.070559613, '1636': 0.034063261, '1901': 0.075425789, '526': 0.053527981, '1457': 0.05109489, '3400': 0.026763991, '401': 0.068126522, '2923': 0.068126522, '1075': 0.02919708, '1307': 0.034063261, '3276': 0.055961069, '1746': 0.13625304, '2854': 0.10705596, '3856': 0.046228711}}"
16.8676367986,"{'colsample_bytree': 0.3, 'max_depth': 4, 'n_estimators': 30, 'min_child_weight': 7, 'learning_rate': 0.1}",,"[   0    1    2 ..., 2130 2131 2132]","[   7   14   22   24   39   54   60   61   62   73   80   81   93   95   97
  101  106  108  114  117  123  130  142  168  171  176  180  181  184  192
  198  203  208  212  219  220  249  262  264  266  267  268  294  304  307
  320  340  343  351  359  378  384  395  423  451  472  474  475  481  484
  490  503  506  520  522  530  541  543  580  583  585  592  595  623  625
  626  643  651  671  679  681  701  715  721  755  760  766  771  775  776
  781  783  789  800  803  806  811  823  838  846  854  861  886  892  904
  931  942  952  957  967  974  982 1008 1010 1030 1052 1060 1069 1077 1081
 1095 1104 1108 1118 1125 1145 1155 1183 1189 1191 1217 1218 1237 1240 1244
 1273 1301 1302 1306 1314 1319 1326 1344 1348 1351 1357 1360 1374 1387 1406
 1421 1422 1436 1447 1461 1465 1468 1488 1489 1549 1552 1563 1567 1577 1578
 1594 1598 1606 1625 1626 1649 1659 1674 1678 1682 1687 1697 1708 1722 1725
 1791 1797 1809 1822 1833 1853 1874 1886 1889 1891 1900 1905 1913 1917 1918
 1931 1943 1952 1973 1976 1990 2016 2026 2029 2041 2051 2063 2082 2086 2096
 2102 2106 2117]","{0: {'1154': 0.05472637, '1636': 0.079601988, '1075': 0.02238806, '1026': 0.067164183, '2923': 0.089552239, '526': 0.077114426, '1457': 0.067164183, '3400': 0.034825869, '401': 0.087064676, '1901': 0.057213929, '1539': 0.037313432, '1307': 0.069651738, '2854': 0.059701491, '1746': 0.069651738, '880': 0.02238806, '3276': 0.069651738, '3856': 0.034825869}}"
18.0595833518,"{'colsample_bytree': 0.6, 'max_depth': 4, 'n_estimators': 25, 'min_child_weight': 1, 'learning_rate': 0.1}",,"[   0    2    4 ..., 2130 2131 2132]","[   1    3    6   16   32   43   85   91   94  100  103  122  129  134  160
  177  195  196  200  201  205  210  216  232  234  235  242  263  269  271
  274  298  311  318  338  344  348  350  361  365  371  382  383  387  389
  397  403  407  410  432  434  444  458  464  470  471  491  504  507  533
  536  551  563  572  590  599  613  614  621  627  628  635  646  657  668
  687  699  700  714  752  763  768  773  792  801  813  820  825  864  881
  882  900  903  910  940  941  970 1009 1015 1017 1025 1028 1038 1044 1070
 1088 1092 1103 1119 1123 1129 1147 1152 1166 1168 1169 1182 1192 1193 1198
 1216 1229 1230 1250 1253 1259 1267 1281 1285 1300 1316 1325 1340 1341 1353
 1356 1358 1365 1380 1402 1441 1457 1464 1467 1476 1480 1483 1485 1492 1500
 1508 1515 1516 1519 1521 1528 1535 1537 1555 1558 1574 1576 1579 1596 1597
 1612 1623 1629 1636 1648 1700 1702 1707 1715 1728 1733 1737 1764 1769 1779
 1782 1786 1790 1802 1859 1873 1883 1885 1904 1926 1932 1935 1951 1971 1984
 1988 1992 2003 2025 2034 2038 2046 2047 2049 2053 2058 2078 2081 2090 2092
 2108 2109 2122]","{0: {'1539': 0.052924789, '1154': 0.047353759, '3276': 0.041782729, '1075': 0.041782729, '1026': 0.075208917, '1636': 0.027855154, '1901': 0.077994429, '526': 0.055710308, '1457': 0.086350977, '3400': 0.030640669, '401': 0.091922008, '880': 0.019498607, '1307': 0.027855154, '2854': 0.11142062, '1746': 0.086350977, '2923': 0.06963788, '3856': 0.055710308}}"
17.6922533809,"{'colsample_bytree': 0.6, 'max_depth': 6, 'n_estimators': 25, 'min_child_weight': 3, 'learning_rate': 0.1}",,"[   0    1    2 ..., 2130 2131 2132]","[  12   28   48   69   82   84   96  116  140  148  173  182  185  197  199
  217  241  272  296  302  314  327  329  339  346  355  373  386  400  415
  453  466  469  480  485  510  514  528  529  531  532  555  560  561  603
  606  607  619  622  633  639  648  673  688  689  697  702  710  713  733
  745  756  762  764  769  778  784  796  797  807  817  821  835  843  845
  847  851  856  883  884  894  899  914  915  924  933  938  950  978  985
 1004 1013 1022 1043 1045 1047 1051 1062 1063 1065 1084 1093 1111 1120 1135
 1154 1156 1161 1165 1174 1196 1206 1210 1225 1228 1241 1247 1254 1256 1258
 1269 1270 1280 1308 1336 1347 1373 1375 1385 1391 1392 1393 1416 1427 1431
 1446 1462 1466 1473 1474 1475 1507 1509 1529 1530 1538 1557 1564 1566 1570
 1572 1573 1580 1586 1605 1607 1615 1627 1637 1661 1686 1688 1698 1703 1729
 1741 1755 1762 1771 1781 1796 1799 1819 1821 1835 1840 1844 1854 1860 1870
 1877 1882 1894 1922 1948 1953 1960 1963 1970 1979 1989 1991 1994 2013 2017
 2022 2023 2028 2031 2032 2037 2040 2042 2060 2062 2064 2076 2080 2098 2100
 2124 2125 2129]","{0: {'1154': 0.061552186, '1636': 0.054415699, '1075': 0.045495093, '1026': 0.068688668, '1901': 0.077609278, '526': 0.058876004, '1457': 0.063336305, '3400': 0.04014273, '401': 0.064228371, '2923': 0.074041031, '1539': 0.045495093, '1307': 0.04192685, '3276': 0.058876004, '1746': 0.081177518, '880': 0.029438002, '2854': 0.08920607, '3856': 0.045495093}}"
17.0915174996,"{'colsample_bytree': 0.8, 'max_depth': 2, 'n_estimators': 30, 'min_child_weight': 5, 'learning_rate': 0.2}",,"[   1    2    3 ..., 2129 2130 2132]","[   0    9   23   37   52   56   86  107  119  121  143  145  149  151  156
  165  174  183  187  190  207  240  243  250  255  259  284  291  297  308
  335  360  388  393  396  421  426  439  443  448  454  456  460  478  488
  494  498  500  505  519  540  548  552  553  562  564  569  586  589  591
  602  610  638  647  653  680  686  691  706  709  711  720  729  742  746
  748  749  754  795  842  844  865  870  876  912  920  927  946  947  951
  959  972  977  992 1012 1024 1026 1029 1031 1034 1046 1050 1053 1054 1056
 1073 1078 1080 1082 1083 1097 1102 1105 1138 1142 1146 1150 1185 1214 1232
 1242 1251 1257 1276 1282 1288 1305 1320 1333 1337 1339 1342 1355 1359 1376
 1390 1395 1397 1399 1401 1411 1415 1418 1438 1440 1442 1459 1469 1472 1481
 1484 1494 1510 1511 1523 1525 1526 1533 1540 1551 1571 1588 1621 1622 1633
 1634 1651 1662 1663 1679 1684 1691 1694 1712 1714 1717 1732 1743 1751 1760
 1767 1785 1788 1795 1813 1824 1829 1830 1841 1852 1857 1864 1897 1906 1912
 1921 1923 1939 1962 1965 1977 1987 1995 2011 2012 2018 2045 2050 2065 2093
 2094 2097 2131]","{0: {'1539': 0.1, '1154': 0.044444446, '3276': 0.0, '1075': 0.0, '1026': 0.055555556, '1636': 0.033333335, '1901': 0.11111111, '526': 0.06666667, '1457': 0.055555556, '3400': 0.044444446, '401': 0.11111111, '880': 0.0, '1307': 0.022222223, '2854': 0.11111111, '1746': 0.17777778, '2923': 0.022222223, '3856': 0.044444446}}"
